course_code,course_title,year,term,optional_group,source_page,source_pages,credits,contact_hours,description,raw_text,parent_course,course_type,generic_lab,search_text,record_id,source_conflicts,summary_metadata
CSE 1101,Structured Programming,1st Year,1st Term,,1,[1],3.0,3L+0P,"Programming Concepts and Structured Programming Language: Data types, Variables, Operators, Type of expressions, Control structures. Functions and Program Structures: Function basics, Parameter passing conventions, Scope rules and storage classes, Recursion, Header files, Preprocessor, Arrays. String and Pointers: Pointers and memory addressing, Arrays and pointer arithmetic, Strings, Algorithms. User Defined Data Type: Structure, Structure bit fields, Structure padding, Unions, Enumeration. Input and Output: Standard input and output, Formatted input and output, File access, Dynamic memory allocation, Valgrind, Garbage collection, Variable length argument list, Command line parameters, Error handling, Introduction to graphics routines, Compiling, Make file, Debugging.","CSE 1101: Structured Programming
Credits: 3.0
Contact Hours: 3L+0P Hrs/Week
Programming Concepts and Structured Programming Language: Data types, Variables, Operators, Type of expressions, Control structures.
Functions and Program Structures: Function basics, Parameter passing conventions, Scope rules and storage classes, Recursion, Header files,
Preprocessor, Arrays.
String and Pointers: Pointers and memory addressing, Arrays and pointer arithmetic, Strings, Algorithms.
User Defined Data Type:  Structure, Structure bit fields, Structure padding, Unions, Enumeration.
Input and Output: Standard input and output, Formatted input and output, File access, Dynamic memory allocation, Valgrind, Garbage collection,
Variable length argument list, Command line parameters, Error handling, Introduction to graphics routines, Compiling, Make file, Debugging.",,Theory,False,"CSE 1101 Structured Programming Structured Programming Programming Concepts and Structured Programming Language: Data types, Variables, Operators, Type of expressions, Control structures. Functions and Program Structures: Function basics, Parameter passing conventions, Scope rules and storage classes, Recursion, Header files, Preprocessor, Arrays. String and Pointers: Pointers and memory addressing, Arrays and pointer arithmetic, Strings, Algorithms. User Defined Data Type: Structure, Structure bit fields, Structure padding, Unions, Enumeration. Input and Output: Standard input and output, Formatted input and output, File access, Dynamic memory allocation, Valgrind, Garbage collection, Variable length argument list, Command line parameters, Error handling, Introduction to graphics routines, Compiling, Make file, Debugging.",CSE_1101_1st Year_1st Term,[],"{'theory_hours': 3.0, 'practical_hours': 0.0, 'credits': 3.0, 'source_page': 1}"
CSE 1102,Structured Programming Laboratory,1st Year,1st Term,,1,[1],1.5,0L+3P,Laboratory works based on CSE 1101,"CSE 1102: Structured Programming Laboratory
Credits: 1.5
Contact Hours: 0L+3P Hrs/Week
Laboratory works based on CSE 1101",CSE 1101,Laboratory,True,CSE 1102 Structured Programming Laboratory Structured Programming Laboratory Laboratory works based on CSE 1101,CSE_1102_1st Year_1st Term,[],"{'theory_hours': 0.0, 'practical_hours': 3.0, 'credits': 1.5, 'source_page': 1}"
CSE 1107,Discrete Mathematics,1st Year,1st Term,,1,[1],3.0,3L+0P,"Set Theory: Properties of sets, Partitions of sets, Power sets and partial ordered sets. Functions: Functions defined on sets, Compositions of functions, Inverse functions, Generating functions, Growth of functions. Relations: Relations on sets, Equivalence relations, Partial order relations, Recurrence relations and recursive algorithms. Mathematical Logic: Propositional calculus and predicate calculus. Mathematical Reasoning: Induction, Contradictions, Recursion, Proof techniques. Number Theory: Elementary number theory, Modular arithmetic and their applications, Sequence and summations. Counting: Permutations, Combinatorics, Principles of inclusion and exclusion. Algebraic Structures: Rings and groups. Graph Theory: Graphs, Paths and trees.","CSE 1107: Discrete Mathematics
Credits: 3.0
Contact Hours: 3L+0P Hrs/Week
Set Theory: Properties of sets, Partitions of sets, Power sets and partial ordered sets.
Functions: Functions defined on sets, Compositions of functions, Inverse functions, Generating functions, Growth of functions.
Relations: Relations on sets, Equivalence relations, Partial order relations, Recurrence relations and recursive algorithms.
Mathematical Logic: Propositional calculus and predicate calculus.
Mathematical Reasoning: Induction, Contradictions, Recursion, Proof techniques.
Number Theory: Elementary number theory, Modular arithmetic and their applications, Sequence and summations.
Counting: Permutations, Combinatorics, Principles of inclusion and exclusion.
Algebraic Structures: Rings and groups.
Graph Theory: Graphs, Paths and trees.",,Theory,False,"CSE 1107 Discrete Mathematics Discrete Mathematics Set Theory: Properties of sets, Partitions of sets, Power sets and partial ordered sets. Functions: Functions defined on sets, Compositions of functions, Inverse functions, Generating functions, Growth of functions. Relations: Relations on sets, Equivalence relations, Partial order relations, Recurrence relations and recursive algorithms. Mathematical Logic: Propositional calculus and predicate calculus. Mathematical Reasoning: Induction, Contradictions, Recursion, Proof techniques. Number Theory: Elementary number theory, Modular arithmetic and their applications, Sequence and summations. Counting: Permutations, Combinatorics, Principles of inclusion and exclusion. Algebraic Structures: Rings and groups. Graph Theory: Graphs, Paths and trees.",CSE_1107_1st Year_1st Term,[],"{'theory_hours': 3.0, 'practical_hours': 0.0, 'credits': 3.0, 'source_page': 1}"
PHY 1107,Physics,1st Year,1st Term,,1,[1],3.0,3L+0P,"Heat and Thermodynamics: Kinetic theory of gases: Fundamental assumption of kinetic theory, pressure excreted by a perfect gas, gas laws, Brownian movement, degrees of freedom, principle of equipartition of energy, mean free path of gas molecules, Maxwell’s Law of distributions of velocities. Thermodynamics: Zeroth law of thermodynamics, Adiabatic and isothermal transformation; First law of thermodynamics and its application, Second law of thermodynamics, Carnot’s engine, Entropy changes in reversible and an irreversible process, Third law of thermodynamics. Wave and Oscillations: Simple harmonic motion, superposition of simple harmonic motions, Damped and forced oscillation, Power dissipation and power absorption, Interference of sound wave, phase velocity and group velocity. LASER Physics: History of LASER, Population inversion and stimulated emission, Generation of coherent radiation, Time coherence, Spatial coherence, Ruby LASER, Model of Ruby LASER, Gas LASER, He-Ne LASER, Semiconductor LASER, Applications of LASER. Quantum Mechanics: Inadequacy of classical concepts, History of quantum mechanics, Planck’s quantum theory, Photoelectric effect, Compton effect, Wave-particle duality, De-Broglie waves, Uncertainty principle and its applications, Sommerfeld relativistic atomic model, Orbital angular momentum, Spin angular momentum, Total angular momentum, Orbital magnetic quantum number and spin magnetic quantum number, Magnetic moment of an electron, Pauli’s exclusion principle; Time-dependent and time independent Schrodinger equation, Interpretation of wavefunction, Expectation values, Probability density and probability current density, energy eigen values and eigen functions, stationary states. Optics: Aberrations: Spherical aberration, coma, distortion, astigmatism, curvature of the field, Chromatic aberration and dispersion. Interference of light: Huygens’s principle and construction of wave front, Young’s double slit experiment, Fresnel’s bi-prism, Interference due to multiple reflections, Newton’s rings.","PHY 1107: Physics
Credits: 3.0
Contact Hours: 3L+0P Hrs/Week
Heat and Thermodynamics: Kinetic theory of gases: Fundamental assumption of kinetic theory, pressure excreted by a perfect gas, gas laws,
Brownian movement, degrees of freedom, principle of equipartition of energy, mean free path of gas molecules, Maxwell’s Law of distributions
of velocities. Thermodynamics: Zeroth law of thermodynamics, Adiabatic and isothermal transformation; First law of thermodynamics and its
application, Second law of thermodynamics, Carnot’s engine, Entropy changes in reversible and an irreversible process, Third law of
thermodynamics.
Wave and Oscillations: Simple harmonic motion, superposition of simple harmonic motions, Damped and forced oscillation, Power dissipation
and power absorption, Interference of sound wave, phase velocity and group velocity.
LASER Physics: History of LASER, Population inversion and stimulated emission, Generation of coherent radiation, Time coherence, Spatial
coherence, Ruby LASER, Model of Ruby LASER, Gas LASER, He-Ne LASER, Semiconductor LASER, Applications of LASER.
Quantum Mechanics: Inadequacy of classical concepts, History of quantum mechanics, Planck’s quantum theory, Photoelectric effect, Compton
effect, Wave-particle duality, De-Broglie waves, Uncertainty principle and its applications,  Sommerfeld relativistic atomic model, Orbital angular
momentum, Spin angular momentum, Total angular momentum, Orbital magnetic quantum number and spin magnetic quantum number, Magnetic
moment of an electron, Pauli’s exclusion principle; Time-dependent and time independent Schrodinger equation, Interpretation of wavefunction,
Expectation values, Probability density and probability current density, energy eigen values and eigen functions, stationary states.
Optics: Aberrations: Spherical aberration, coma, distortion, astigmatism, curvature of the field, Chromatic aberration and dispersion.
Interference of light: Huygens’s principle and construction of wave front, Young’s double slit experiment, Fresnel’s bi-prism, Interference due to
multiple reflections, Newton’s rings.",,Theory,False,"PHY 1107 Physics Physics Heat and Thermodynamics: Kinetic theory of gases: Fundamental assumption of kinetic theory, pressure excreted by a perfect gas, gas laws, Brownian movement, degrees of freedom, principle of equipartition of energy, mean free path of gas molecules, Maxwell’s Law of distributions of velocities. Thermodynamics: Zeroth law of thermodynamics, Adiabatic and isothermal transformation; First law of thermodynamics and its application, Second law of thermodynamics, Carnot’s engine, Entropy changes in reversible and an irreversible process, Third law of thermodynamics. Wave and Oscillations: Simple harmonic motion, superposition of simple harmonic motions, Damped and forced oscillation, Power dissipation and power absorption, Interference of sound wave, phase velocity and group velocity. LASER Physics: History of LASER, Population inversion and stimulated emission, Generation of coherent radiation, Time coherence, Spatial coherence, Ruby LASER, Model of Ruby LASER, Gas LASER, He-Ne LASER, Semiconductor LASER, Applications of LASER. Quantum Mechanics: Inadequacy of classical concepts, History of quantum mechanics, Planck’s quantum theory, Photoelectric effect, Compton effect, Wave-particle duality, De-Broglie waves, Uncertainty principle and its applications, Sommerfeld relativistic atomic model, Orbital angular momentum, Spin angular momentum, Total angular momentum, Orbital magnetic quantum number and spin magnetic quantum number, Magnetic moment of an electron, Pauli’s exclusion principle; Time-dependent and time independent Schrodinger equation, Interpretation of wavefunction, Expectation values, Probability density and probability current density, energy eigen values and eigen functions, stationary states. Optics: Aberrations: Spherical aberration, coma, distortion, astigmatism, curvature of the field, Chromatic aberration and dispersion. Interference of light: Huygens’s principle and construction of wave front, Young’s double slit experiment, Fresnel’s bi-prism, Interference due to multiple reflections, Newton’s rings.",PHY_1107_1st Year_1st Term,[],"{'theory_hours': 3.0, 'practical_hours': 0.0, 'credits': 3.0, 'source_page': 1}"
PHY 1108,Physics Laboratory,1st Year,1st Term,,1,[1],1.5,0L+3P,Laboratory works based on PHY 1107,"PHY 1108: Physics Laboratory
Credits: 1.5
Contact Hours: 0L+3P Hrs/Week
Laboratory works based on PHY 1107",PHY 1107,Laboratory,True,PHY 1108 Physics Laboratory Physics Laboratory Laboratory works based on PHY 1107,PHY_1108_1st Year_1st Term,[],"{'theory_hours': 0.0, 'practical_hours': 3.0, 'credits': 1.5, 'source_page': 1}"
HUM 1107,English and Human Communication,1st Year,1st Term,,2,[2],3.0,3L+0P,"Introduction: Vocabulary building, Rules of syntax, Grammatical principles, Sentence structure, Correction of errors, Transformation of sentences, Phrases and idioms, Prefixes and suffixes, Notions/functions of language, Classes, Antonyms and synonyms. Written Communication: Comprehension, Construction of paragraphs on scientific and other themes, Precis writing, Technical and official correspondence, Technical report writing, Research paper writing, Tender notice, Free composition, Personal filing system. Oral Communication: Listening skills, Oral presentation, Audio-visual communication, Interviewing skills.","HUM 1107: English and Human Communication
Credits: 3.0
Contact Hours: 3L+0P Hrs/Week
Introduction: Vocabulary building, Rules of syntax, Grammatical principles, Sentence structure, Correction of errors, Transformation of
sentences, Phrases and idioms, Prefixes and suffixes, Notions/functions of language, Classes, Antonyms and synonyms.
Written Communication: Comprehension, Construction of paragraphs on scientific and other themes, Precis writing, Technical and official
correspondence, Technical report writing, Research paper writing, Tender notice, Free composition, Personal filing system.
Oral Communication: Listening skills, Oral presentation, Audio-visual communication, Interviewing skills.",,Theory,False,"HUM 1107 English and Human Communication English and Human Communication Introduction: Vocabulary building, Rules of syntax, Grammatical principles, Sentence structure, Correction of errors, Transformation of sentences, Phrases and idioms, Prefixes and suffixes, Notions/functions of language, Classes, Antonyms and synonyms. Written Communication: Comprehension, Construction of paragraphs on scientific and other themes, Precis writing, Technical and official correspondence, Technical report writing, Research paper writing, Tender notice, Free composition, Personal filing system. Oral Communication: Listening skills, Oral presentation, Audio-visual communication, Interviewing skills.",HUM_1107_1st Year_1st Term,[],"{'theory_hours': 3.0, 'practical_hours': 0.0, 'credits': 3.0, 'source_page': 1}"
HUM 1108,English and Human Communication Laboratory,1st Year,1st Term,,2,[2],0.75,0L+3/2P,"Grammar: Tense, Article, Preposition, Subject-verb agreement, Clause, Conditional and sentence structure. Vocabulary Building: Correct and precise diction, Affixes, Level of appropriateness, Colloquial and standard, Informal and formal. Developing Reading Skill: Strategies of reading – Skimming, Scanning, Predicting, Inferring, Analyzing and interpreting variety of texts, Practicing comprehension from literary and nonliterary texts. Developing Writing Skill: Sentences, Sentence variety, Generating sentences, Clarity and correctness of sentences, Linking sentences to form paragraphs, Writing paragraphs, Essays, Reports, Formal and informal letters. Listening Skill and Note Taking: Listening to recorded texts and class lectures and learning to take useful notes based on listening. Developing Speaking Skill: Oral skills including communicative expressions for personal identification, Life at home, Giving advice and opinion, Instruction and directions, Requests, Complaints, Apologies, Describing people and places, Narrating events.","HUM 1108: English and Human Communication Laboratory
Credits: 0.75
Contact Hours: 0L+3/2P Hrs/Week
Grammar: Tense, Article, Preposition, Subject-verb agreement, Clause, Conditional and sentence structure.
Vocabulary Building: Correct and precise diction, Affixes, Level of appropriateness, Colloquial and standard, Informal and formal.
Developing Reading Skill: Strategies of reading – Skimming, Scanning, Predicting, Inferring, Analyzing and interpreting variety of texts,
Practicing comprehension from literary and nonliterary texts.
Developing Writing Skill: Sentences, Sentence variety, Generating sentences, Clarity and correctness of sentences, Linking sentences to form
paragraphs, Writing paragraphs, Essays, Reports, Formal and informal letters.
Listening Skill and Note Taking: Listening to recorded texts and class lectures and learning to take useful notes based on listening.
Developing Speaking Skill: Oral skills including communicative expressions for personal identification, Life at home, Giving advice and opinion,
Instruction and directions, Requests, Complaints, Apologies, Describing people and places, Narrating events.",,Laboratory,False,"HUM 1108 English and Human Communication Laboratory English and Human Communication Laboratory Grammar: Tense, Article, Preposition, Subject-verb agreement, Clause, Conditional and sentence structure. Vocabulary Building: Correct and precise diction, Affixes, Level of appropriateness, Colloquial and standard, Informal and formal. Developing Reading Skill: Strategies of reading – Skimming, Scanning, Predicting, Inferring, Analyzing and interpreting variety of texts, Practicing comprehension from literary and nonliterary texts. Developing Writing Skill: Sentences, Sentence variety, Generating sentences, Clarity and correctness of sentences, Linking sentences to form paragraphs, Writing paragraphs, Essays, Reports, Formal and informal letters. Listening Skill and Note Taking: Listening to recorded texts and class lectures and learning to take useful notes based on listening. Developing Speaking Skill: Oral skills including communicative expressions for personal identification, Life at home, Giving advice and opinion, Instruction and directions, Requests, Complaints, Apologies, Describing people and places, Narrating events.",HUM_1108_1st Year_1st Term,[],"{'theory_hours': 0.0, 'practical_hours': 1.5, 'credits': 0.75, 'source_page': 1}"
MATH 1107,Differential and Integral Calculus,1st Year,1st Term,,2,[2],3.0,3L+0P,"Differential Calculus: Limit, Continuity and differentiability, Significance of derivatives, Successive differentiation of various types of functions, Leibnitz’s theorem, Rolle's theorem, Mean value theorem, Taylor's theorem in finite and infinite forms, Maclaurin's theorem in finite and infinite forms, Partial differentiation of different multi-variable functions, Evaluation of indeterminate forms, Tangents, Normals, Subtangents and subnormals in cartesian and polar coordinates, Determination of maximum and minimum values of functions, Points of inflection with applications, Curvature and radius of curvature, Asymptotes, Curve tracing. Integral Calculus: Definitions of integration, Integration by the method of substitution, Integration by parts, Integration by the method of successive reduction, Definite integrals, Definite integral’s properties and use in summing series, Walli’s formulae, Improper integrals, Differentiation and integration under sign of integration, Beta function and gamma function, Jacobian, Multiple integrals and their applications. Area of the region enclosed by curve in Cartesian and polar co-ordinates, Are lengths of curve in Cartesian and polar coordinates.","MATH 1107: Differential and Integral Calculus
Credits: 3.0
Contact Hours: 3L+0P Hrs/Week
Differential Calculus: Limit, Continuity and differentiability, Significance of derivatives, Successive differentiation of various types of functions,
Leibnitz’s theorem, Rolle's theorem, Mean value theorem, Taylor's theorem in finite and infinite forms, Maclaurin's theorem in finite and infinite
forms, Partial differentiation of different multi-variable functions, Evaluation of indeterminate forms, Tangents, Normals, Subtangents and
subnormals in cartesian and polar coordinates, Determination of maximum and minimum values of functions, Points of inflection with applications,
Curvature and radius of curvature, Asymptotes, Curve tracing.
Integral Calculus: Definitions of integration, Integration by the method of substitution, Integration by parts, Integration by the method of
successive reduction, Definite integrals, Definite integral’s properties and use in summing series, Walli’s formulae, Improper integrals,
Differentiation and integration under sign of integration, Beta function and gamma function, Jacobian, Multiple integrals and their applications.
Area of the region enclosed by curve in Cartesian and polar co-ordinates, Are lengths of curve in Cartesian and polar coordinates.",,Theory,False,"MATH 1107 Differential and Integral Calculus Differential and Integral Calculus Differential Calculus: Limit, Continuity and differentiability, Significance of derivatives, Successive differentiation of various types of functions, Leibnitz’s theorem, Rolle's theorem, Mean value theorem, Taylor's theorem in finite and infinite forms, Maclaurin's theorem in finite and infinite forms, Partial differentiation of different multi-variable functions, Evaluation of indeterminate forms, Tangents, Normals, Subtangents and subnormals in cartesian and polar coordinates, Determination of maximum and minimum values of functions, Points of inflection with applications, Curvature and radius of curvature, Asymptotes, Curve tracing. Integral Calculus: Definitions of integration, Integration by the method of substitution, Integration by parts, Integration by the method of successive reduction, Definite integrals, Definite integral’s properties and use in summing series, Walli’s formulae, Improper integrals, Differentiation and integration under sign of integration, Beta function and gamma function, Jacobian, Multiple integrals and their applications. Area of the region enclosed by curve in Cartesian and polar co-ordinates, Are lengths of curve in Cartesian and polar coordinates.",MATH_1107_1st Year_1st Term,[],"{'theory_hours': 3.0, 'practical_hours': 0.0, 'credits': 3.0, 'source_page': 1}"
CSE 1203,Digital Logic Design,1st Year,2nd Term,,2,[2],3.0,3L+0P,"Introduction: Digital systems, Codes, Code conversion, Boolean algebra and switching theory. Boolean functions, Canonical forms, Minimization of Boolean functions, Different types of logic gates. Combinational Circuits: Combinational circuit design issues, Adder, Subtractors, Arithmetic and data handling logic circuits, Decoders, Encoders, Multiplexers and demultiplexers, Binary parallel adder, Combinational logic with MSI and LSI, ROM, EPROM and PLA, PAL design, Digital display, Fan-in, Fan-out, Propagation delay, Power dissipation, Hazards in combinational circuit. Sequential Circuits: Flip flops, State diagram, Timing diagrams, Mealy and Moor machines, State minimization and assignments, Design of counters, Register and the memory unit, Asynchronous counters and synchronous counters and their applications, Synchronous and asynchronous logic circuit design, Race around problems and races in sequential circuits.","CSE 1203: Digital Logic Design
Credits: 3.0
Contact Hours: 3L+0P Hrs/Week
Introduction: Digital systems, Codes, Code conversion, Boolean algebra and switching theory. Boolean functions, Canonical forms, Minimization
of Boolean functions, Different types of logic gates.
Combinational Circuits: Combinational circuit design issues, Adder, Subtractors, Arithmetic and data handling logic circuits, Decoders,
Encoders, Multiplexers and demultiplexers, Binary parallel adder, Combinational logic with MSI and LSI, ROM, EPROM and PLA, PAL design,
Digital display, Fan-in, Fan-out, Propagation delay, Power dissipation, Hazards in combinational circuit.
Sequential Circuits: Flip flops, State diagram, Timing diagrams, Mealy and Moor machines, State minimization and assignments, Design of
counters, Register and the memory unit, Asynchronous counters and synchronous counters and their applications, Synchronous and asynchronous
logic circuit design, Race around problems and races in sequential circuits.",,Theory,False,"CSE 1203 Digital Logic Design Digital Logic Design Introduction: Digital systems, Codes, Code conversion, Boolean algebra and switching theory. Boolean functions, Canonical forms, Minimization of Boolean functions, Different types of logic gates. Combinational Circuits: Combinational circuit design issues, Adder, Subtractors, Arithmetic and data handling logic circuits, Decoders, Encoders, Multiplexers and demultiplexers, Binary parallel adder, Combinational logic with MSI and LSI, ROM, EPROM and PLA, PAL design, Digital display, Fan-in, Fan-out, Propagation delay, Power dissipation, Hazards in combinational circuit. Sequential Circuits: Flip flops, State diagram, Timing diagrams, Mealy and Moor machines, State minimization and assignments, Design of counters, Register and the memory unit, Asynchronous counters and synchronous counters and their applications, Synchronous and asynchronous logic circuit design, Race around problems and races in sequential circuits.",CSE_1203_1st Year_2nd Term,[],"{'theory_hours': 3.0, 'practical_hours': 0.0, 'credits': 3.0, 'source_page': 2}"
CSE 1204,Digital Logic Design Laboratory,1st Year,2nd Term,,2,[2],1.5,0L+3P,Laboratory works based on CSE 1203,"CSE 1204: Digital Logic Design Laboratory
Credits: 1.5
Contact Hours: 0L+3P Hrs/Week
Laboratory works based on CSE 1203",CSE 1203,Laboratory,True,CSE 1204 Digital Logic Design Laboratory Digital Logic Design Laboratory Laboratory works based on CSE 1203,CSE_1204_1st Year_2nd Term,[],"{'theory_hours': 0.0, 'practical_hours': 3.0, 'credits': 1.5, 'source_page': 2}"
