Model,mode,category,Hit@1,Hit@3,MRR,Recall@3,OOD_Accuracy,False_Acceptance_Rate,False_Rejection_Rate,queries,answerable_queries
model_a,retrieval_only,ambiguous,1.0,1.0,1.0,0.5833333333333334,,,0.3333333333333333,3,3
model_a,retrieval_only,exact,0.8333333333333334,0.9166666666666666,0.8916666666666666,0.8333333333333334,,,0.16666666666666666,12,12
model_a,retrieval_only,metadata,0.42857142857142855,1.0,0.6904761904761906,0.8639455782312925,,,0.0,7,7
model_a,retrieval_only,negative,,,,,,0.14285714285714285,,7,0
model_a,retrieval_only,out_of_domain,,,,,1.0,0.0,,5,0
model_a,retrieval_only,partial,1.0,1.0,1.0,1.0,,,0.0,2,2
model_a,retrieval_only,semantic,0.5555555555555556,0.7777777777777778,0.6738958209546444,0.7222222222222222,,,0.2222222222222222,9,9
model_a,retrieval_only,typo,0.3333333333333333,1.0,0.6666666666666666,1.0,,,0.0,3,3
model_a,end_to_end,ambiguous,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4166666666666667,,,0.3333333333333333,3,3
model_a,end_to_end,exact,0.75,0.8333333333333334,0.7916666666666666,0.7916666666666666,,,0.16666666666666666,12,12
model_a,end_to_end,metadata,1.0,1.0,1.0,0.8775510204081634,,,0.0,7,7
model_a,end_to_end,negative,,,,,,0.0,,7,0
model_a,end_to_end,out_of_domain,,,,,1.0,0.0,,5,0
model_a,end_to_end,partial,1.0,1.0,1.0,1.0,,,0.0,2,2
model_a,end_to_end,semantic,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.37037037037037035,,,0.2222222222222222,9,9
model_a,end_to_end,typo,1.0,1.0,1.0,0.8333333333333334,,,0.0,3,3
model_b,retrieval_only,ambiguous,1.0,1.0,1.0,0.6666666666666666,,,0.0,3,3
model_b,retrieval_only,exact,0.5833333333333334,0.75,0.6860795454545454,0.7083333333333334,,,0.25,12,12
model_b,retrieval_only,metadata,0.14285714285714285,0.2857142857142857,0.2832877567900609,0.14965986394557823,,,0.42857142857142855,7,7
model_b,retrieval_only,negative,,,,,,0.2857142857142857,,7,0
model_b,retrieval_only,out_of_domain,,,,,0.8,0.2,,5,0
model_b,retrieval_only,partial,1.0,1.0,1.0,1.0,,,0.0,2,2
model_b,retrieval_only,semantic,0.8888888888888888,0.8888888888888888,0.9166666666666666,0.7962962962962963,,,0.0,9,9
model_b,retrieval_only,typo,0.3333333333333333,1.0,0.6666666666666666,1.0,,,0.0,3,3
model_b,end_to_end,ambiguous,1.0,1.0,1.0,0.5833333333333334,,,0.0,3,3
model_b,end_to_end,exact,0.5,0.5833333333333334,0.5416666666666666,0.5833333333333334,,,0.25,12,12
model_b,end_to_end,metadata,1.0,1.0,1.0,0.8775510204081634,,,0.0,7,7
model_b,end_to_end,negative,,,,,,0.14285714285714285,,7,0
model_b,end_to_end,out_of_domain,,,,,1.0,0.0,,5,0
model_b,end_to_end,partial,1.0,1.0,1.0,1.0,,,0.0,2,2
model_b,end_to_end,semantic,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.7962962962962963,,,0.0,9,9
model_b,end_to_end,typo,1.0,1.0,1.0,0.8333333333333334,,,0.0,3,3
model_c,retrieval_only,ambiguous,0.3333333333333333,0.3333333333333333,0.45,0.16666666666666666,,,0.0,3,3
model_c,retrieval_only,exact,0.0,0.08333333333333333,0.10168099590812256,0.08333333333333333,,,0.25,12,12
model_c,retrieval_only,metadata,0.0,0.14285714285714285,0.14564509564509565,0.14285714285714285,,,0.2857142857142857,7,7
model_c,retrieval_only,negative,,,,,,0.5714285714285714,,7,0
model_c,retrieval_only,out_of_domain,,,,,0.8,0.2,,5,0
model_c,retrieval_only,partial,0.0,0.0,0.04957264957264958,0.0,,,0.0,2,2
model_c,retrieval_only,semantic,0.1111111111111111,0.2222222222222222,0.22177390510723843,0.2222222222222222,,,0.3333333333333333,9,9
model_c,retrieval_only,typo,0.0,0.6666666666666666,0.3034188034188034,0.5,,,0.0,3,3
model_c,end_to_end,ambiguous,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,,,0.0,3,3
model_c,end_to_end,exact,0.08333333333333333,0.16666666666666666,0.125,0.16666666666666666,,,0.16666666666666666,12,12
model_c,end_to_end,metadata,1.0,1.0,1.0,0.8775510204081634,,,0.0,7,7
model_c,end_to_end,negative,,,,,,0.2857142857142857,,7,0
model_c,end_to_end,out_of_domain,,,,,1.0,0.0,,5,0
