Model,mode,query_id,category,has_answer,accepted,top_score,status,top3,Hit@1,Hit@3,MRR,Recall@3
model_a,retrieval_only,E001,exact,True,True,0.19965966987540198,ranked,CSE 4115|CSE 4215|CHEM 1207,1.0,1.0,1.0,1.0
model_a,end_to_end,E001,exact,True,True,0.19965966987540198,ok,CSE 4115,1.0,1.0,1.0,1.0
model_a,retrieval_only,E002,semantic,True,True,0.16913473821922548,ranked,CSE 4215|CSE 4115|CSE 4213,1.0,1.0,1.0,1.0
model_a,end_to_end,E002,semantic,True,True,0.16913473821922548,ok,CSE 4215,1.0,1.0,1.0,0.3333333333333333
model_a,retrieval_only,E003,partial,True,True,0.16685113815589664,ranked,CSE 4115|CHEM 1207|CSE 1101,1.0,1.0,1.0,1.0
model_a,end_to_end,E003,partial,True,True,0.16685113815589664,ok,CSE 4115,1.0,1.0,1.0,1.0
model_a,retrieval_only,E004,typo,True,True,0.16685113815589664,ranked,CSE 4115|CHEM 1207|CSE 1101,1.0,1.0,1.0,1.0
model_a,end_to_end,E004,typo,True,True,0.16685113815589664,ok,CSE 4115,1.0,1.0,1.0,1.0
model_a,retrieval_only,E005,metadata,True,True,0.31708899697764303,ranked,CSE 4122|CSE 4121|CSE 4224,0.0,1.0,0.5,1.0
model_a,end_to_end,E005,metadata,True,True,0.31708899697764303,ok,CSE 4121,1.0,1.0,1.0,1.0
model_a,retrieval_only,E006,metadata,True,True,0.6835356227107389,ranked,CSE 4122|CSE 4121|CSE 4108,0.0,1.0,0.5,1.0
model_a,end_to_end,E006,metadata,True,True,0.6835356227107389,ok,CSE 4121,1.0,1.0,1.0,1.0
model_a,retrieval_only,E007,metadata,True,True,0.25285937621736926,ranked,CSE 4122|CSE 4121|CSE 4105,0.0,1.0,0.5,1.0
model_a,end_to_end,E007,metadata,True,True,0.25285937621736926,ok,CSE 4121,1.0,1.0,1.0,1.0
model_a,retrieval_only,E008,metadata,True,True,0.2847316856619537,ranked,CSE 4116|CSE 4224|CSE 3102,1.0,1.0,1.0,1.0
model_a,end_to_end,E008,metadata,True,True,0.2847316856619537,ok,CSE 4116,1.0,1.0,1.0,1.0
model_a,retrieval_only,E009,ambiguous,True,True,0.13812958787773214,ranked,CSE 4115|CSE 3101|CSE 3109,1.0,1.0,1.0,0.25
model_a,end_to_end,E009,ambiguous,True,True,0.13812958787773214,ok,CSE 4115,1.0,1.0,1.0,0.25
model_a,retrieval_only,E010,semantic,True,True,0.11405748661850047,ranked,CSE 4117|CSE 2114|CSE 4106,0.0,0.0,0.045454545454545456,0.0
model_a,end_to_end,E010,semantic,True,True,0.11405748661850047,ok,CSE 4117,0.0,0.0,0.0,0.0
model_a,retrieval_only,E011,negative,False,False,0.07060356927178402,ranked,CSE 4249|CHEM 1207|CSE 1101,,,,
model_a,end_to_end,E011,negative,False,False,0.07060356927178402,no_match,,,,,
model_a,retrieval_only,E012,out_of_domain,False,False,0.0,ranked,CHEM 1207|CSE 1101|CSE 1107,,,,
model_a,end_to_end,E012,out_of_domain,False,False,0.0,out_of_scope,,,,,
model_a,retrieval_only,E013,out_of_domain,False,False,0.0,ranked,CHEM 1207|CSE 1101|CSE 1107,,,,
model_a,end_to_end,E013,out_of_domain,False,False,0.0,gibberish,,,,,
model_a,retrieval_only,E014,exact,True,False,0.10474950369420594,ranked,CSE 4000|CSE 2105|CSE 4215,0.0,0.0,0.2,0.0
model_a,end_to_end,E014,exact,True,False,0.10474950369420594,no_match,,0.0,0.0,0.0,0.0
model_a,retrieval_only,E015,exact,True,True,0.13004974898651706,ranked,CSE 4121|CSE 4131|CHEM 1207,1.0,1.0,1.0,1.0
model_a,end_to_end,E015,exact,True,True,0.13004974898651706,ok,CSE 4121,1.0,1.0,1.0,1.0
model_a,retrieval_only,E016,semantic,True,True,0.12538596519555598,ranked,HUM 1108|CSE 4121|CSE 4129,0.0,1.0,0.5,1.0
model_a,end_to_end,E016,semantic,True,True,0.12538596519555598,ok,HUM 1108,0.0,0.0,0.0,0.0
model_a,retrieval_only,E017,exact,True,True,0.13565165483817307,ranked,CSE 4111|MATH 2207|MATH 2107,1.0,1.0,1.0,1.0
model_a,end_to_end,E017,exact,True,True,0.13565165483817307,ok,CSE 4111,1.0,1.0,1.0,1.0
model_a,retrieval_only,E018,semantic,True,True,0.141219657212556,ranked,CSE 4111|CSE 4131|CSE 4000,1.0,1.0,1.0,1.0
model_a,end_to_end,E018,semantic,True,True,0.141219657212556,ok,CSE 4111,1.0,1.0,1.0,1.0
model_a,retrieval_only,E019,exact,True,False,0.09690676102993454,ranked,CSE 2105|CSE 4247|CSE 2201,1.0,1.0,1.0,0.5
model_a,end_to_end,E019,exact,True,False,0.09690676102993454,no_match,,0.0,0.0,0.0,0.0
model_a,retrieval_only,E020,semantic,True,True,0.14168744908219816,ranked,CSE 4247|CSE 2105|CSE 1107,0.0,1.0,0.5,0.5
model_a,end_to_end,E020,semantic,True,True,0.14168744908219816,ok,CSE 4247,0.0,0.0,0.0,0.0
model_a,retrieval_only,E021,exact,True,True,0.178392052906132,ranked,MATH 2107|CSE 4107|CSE 4117,0.0,1.0,0.5,1.0
model_a,end_to_end,E021,exact,True,True,0.178392052906132,ok,MATH 2107|CSE 4107,0.0,1.0,0.5,1.0
model_a,retrieval_only,E022,exact,True,True,0.13721039387109193,ranked,CSE 4241|HUM 1108|ECE 2213,1.0,1.0,1.0,1.0
model_a,end_to_end,E022,exact,True,True,0.13721039387109193,ok,CSE 4241,1.0,1.0,1.0,1.0
model_a,retrieval_only,E023,semantic,True,False,0.08351971793500419,ranked,CSE 4241|CSE 4107|EEE 1207,1.0,1.0,1.0,1.0
model_a,end_to_end,E023,semantic,True,False,0.08351971793500419,no_match,,0.0,0.0,0.0,0.0
model_a,retrieval_only,E024,exact,True,True,0.25349203064032855,ranked,CSE 4247|CSE 1107|CSE 2105,1.0,1.0,1.0,1.0
model_a,end_to_end,E024,exact,True,True,0.25349203064032855,ok,CSE 4247,1.0,1.0,1.0,1.0
model_a,retrieval_only,E025,semantic,True,True,0.20967516732932306,ranked,CSE 4247|CSE 4217|CSE 4235,1.0,1.0,1.0,1.0
